Local time,Open,High,Low,Close,Volume
21.09.2021 01:00:00.000 GMT+0100,28.876,30.367,28.196,28.637,54559.4453
22.09.2021 01:00:00.000 GMT+0100,27.917,28.306,26.487,26.987,26687.5078
23.09.2021 01:00:00.000 GMT+0100,26.157,26.237,25.246,25.366,6590.0103
24.09.2021 01:00:00.000 GMT+0100,25.966,26.016,24.526,24.566,9041.0166
25.09.2021 01:00:00.000 GMT+0100,24.566,24.566,24.566,24.566,0
26.09.2021 01:00:00.000 GMT+0100,24.566,24.566,24.566,24.566,0
27.09.2021 01:00:00.000 GMT+0100,24.716,25.046,24.366,24.796,9646.1289
28.09.2021 01:00:00.000 GMT+0100,25.866,27.967,25.617,27.387,38851.168
29.09.2021 01:00:00.000 GMT+0100,27.236,28.027,26.906,27.807,19828.334
30.09.2021 01:00:00.000 GMT+0100,27.057,28.317,26.436,27.807,26484.0078
01.10.2021 01:00:00.000 GMT+0100,27.196,28.177,26.146,26.816,19763.1465
02.10.2021 01:00:00.000 GMT+0100,26.816,26.816,26.816,26.816,0
03.10.2021 01:00:00.000 GMT+0100,26.816,26.816,26.816,26.816,0
04.10.2021 01:00:00.000 GMT+0100,26.836,28.487,26.597,27.546,28669.6465
05.10.2021 01:00:00.000 GMT+0100,27.317,27.547,26.036,26.626,10344.3135
06.10.2021 01:00:00.000 GMT+0100,27.186,28.266,26.146,26.207,20490.4883
07.10.2021 01:00:00.000 GMT+0100,25.727,25.746,25.176,25.277,5065.4185
08.10.2021 01:00:00.000 GMT+0100,24.947,25.177,24.596,24.786,8416.9316
09.10.2021 01:00:00.000 GMT+0100,24.786,24.786,24.786,24.786,0
10.10.2021 01:00:00.000 GMT+0100,24.786,24.786,24.786,24.786,0
11.10.2021 01:00:00.000 GMT+0100,24.996,25.127,24.146,25.097,9063.21
12.10.2021 01:00:00.000 GMT+0100,24.686,25.177,24.326,24.576,13575.2754
13.10.2021 01:00:00.000 GMT+0100,24.456,24.967,24.096,24.147,9465.1787
14.10.2021 01:00:00.000 GMT+0100,23.346,23.457,22.786,22.827,2470.052
15.10.2021 01:00:00.000 GMT+0100,22.597,22.887,22.176,22.806,2697.0544
16.10.2021 01:00:00.000 GMT+0100,22.806,22.806,22.806,22.806,0
17.10.2021 01:00:00.000 GMT+0100,22.806,22.806,22.806,22.806,0
18.10.2021 01:00:00.000 GMT+0100,23.137,23.206,22.326,22.336,3337.0933
19.10.2021 01:00:00.000 GMT+0100,22.216,22.377,22.016,22.156,1885.053
20.10.2021 01:00:00.000 GMT+0100,22.176,22.247,21.866,21.936,1302.0369
21.10.2021 01:00:00.000 GMT+0100,22.086,22.187,21.196,21.227,1367.0436
22.10.2021 01:00:00.000 GMT+0100,21.287,22.187,21.056,21.677,7821.1733
23.10.2021 01:00:00.000 GMT+0100,21.677,21.677,21.677,21.677,0
24.10.2021 01:00:00.000 GMT+0100,21.677,21.677,21.677,21.677,0
25.10.2021 01:00:00.000 GMT+0100,21.496,21.897,21.016,21.046,3329.0916
26.10.2021 01:00:00.000 GMT+0100,20.786,21.926,20.776,21.457,5985.2324
27.10.2021 01:00:00.000 GMT+0100,21.366,22.026,20.906,21.926,7065.2017
28.10.2021 01:00:00.000 GMT+0100,21.567,21.657,21.186,21.236,4821.1382
29.10.2021 01:00:00.000 GMT+0100,21.796,21.836,21.296,21.407,4425.1201
30.10.2021 01:00:00.000 GMT+0100,21.407,21.407,21.407,21.407,0
31.10.2021 01:00:00.000 GMT+0100,21.407,21.407,21.407,21.407,0
01.11.2021 00:00:00.000 GMT-0000,21.237,21.876,21.046,21.087,4998.1592
02.11.2021 00:00:00.000 GMT-0000,21.046,21.047,20.517,20.527,1663.0428
03.11.2021 00:00:00.000 GMT-0000,20.566,20.687,19.646,19.797,4187.1289
04.11.2021 00:00:00.000 GMT-0000,19.586,20.376,19.467,20.106,4320.1304
05.11.2021 00:00:00.000 GMT-0000,19.886,20.916,19.816,20.817,5738.1543
06.11.2021 00:00:00.000 GMT-0000,20.817,20.817,20.817,20.817,0
07.11.2021 00:00:00.000 GMT-0000,20.817,20.817,20.817,20.817,0
08.11.2021 00:00:00.000 GMT-0000,20.506,21.237,20.437,20.827,3977.0969
09.11.2021 00:00:00.000 GMT-0000,21.007,21.717,20.966,21.187,10076.1904
10.11.2021 00:00:00.000 GMT-0000,21.647,22.107,20.816,21.536,13520.2627
11.11.2021 00:00:00.000 GMT-0000,21.066,21.337,20.676,21.127,5050.2349
12.11.2021 00:00:00.000 GMT-0000,20.766,20.937,20.276,20.357,3531.1375
13.11.2021 00:00:00.000 GMT-0000,20.357,20.357,20.357,20.357,0
14.11.2021 00:00:00.000 GMT-0000,20.357,20.357,20.357,20.357,0
15.11.2021 00:00:00.000 GMT-0000,20.117,20.786,20.096,20.127,5448.3882
16.11.2021 00:00:00.000 GMT-0000,20.276,20.287,19.856,20.207,2314.1995
17.11.2021 00:00:00.000 GMT-0000,20.126,20.547,20.007,20.477,5390.3647
18.11.2021 00:00:00.000 GMT-0000,20.316,20.967,20.216,20.697,5452.3979
19.11.2021 00:00:00.000 GMT-0000,20.807,21.187,20.506,20.956,6826.4688
20.11.2021 00:00:00.000 GMT-0000,20.956,20.956,20.956,20.956,0
21.11.2021 00:00:00.000 GMT-0000,20.956,20.956,20.956,20.956,0
22.11.2021 00:00:00.000 GMT-0000,20.496,21.407,20.406,21.356,6350.4453
