Local time,Open,High,Low,Close,Volume
08.09.2021 01:00:00.000 GMT+0100,35056.749,35178.299,34900.509,34992.729,33.0685
09.09.2021 01:00:00.000 GMT+0100,34992.739,35202.739,34788.019,34867.799,29.5651
10.09.2021 01:00:00.000 GMT+0100,34868.289,35117.279,34602.279,34641.739,23.0069
11.09.2021 01:00:00.000 GMT+0100,34641.739,34641.739,34641.739,34641.739,0
12.09.2021 01:00:00.000 GMT+0100,34644.259,34753.999,34643.739,34745.219,1.2287
13.09.2021 01:00:00.000 GMT+0100,34745.249,34939.299,34604.219,34917.739,34.9336
14.09.2021 01:00:00.000 GMT+0100,34917.699,35015.089,34505.729,34629.729,31.8022
15.09.2021 01:00:00.000 GMT+0100,34628.229,34884.499,34497.999,34843.269,29.0683
16.09.2021 01:00:00.000 GMT+0100,34841.709,34946.249,34536.739,34706.249,27.5957
17.09.2021 01:00:00.000 GMT+0100,34708.219,34831.299,34508.229,34545.719,32.5105
18.09.2021 01:00:00.000 GMT+0100,34545.719,34545.719,34545.719,34545.719,0
19.09.2021 01:00:00.000 GMT+0100,34529.259,34534.749,34453.209,34510.269,0.9779
20.09.2021 01:00:00.000 GMT+0100,34511.219,34529.299,33612.199,34051.759,46.47
21.09.2021 01:00:00.000 GMT+0100,34051.299,34369.549,33834.239,33843.249,42.5512
22.09.2021 01:00:00.000 GMT+0100,33843.999,34446.289,33764.209,34333.219,37.4088
23.09.2021 01:00:00.000 GMT+0100,34332.739,34875.499,34319.249,34771.249,29.9873
24.09.2021 01:00:00.000 GMT+0100,34771.239,34858.499,34587.519,34816.209,29.8936
25.09.2021 01:00:00.000 GMT+0100,34816.209,34816.209,34816.209,34816.209,0
26.09.2021 01:00:00.000 GMT+0100,34813.769,34905.789,34811.229,34888.249,0.8493
27.09.2021 01:00:00.000 GMT+0100,34891.209,35063.259,34782.019,34864.299,28.8792
28.09.2021 01:00:00.000 GMT+0100,34865.499,34978.259,34252.219,34408.999,39.7038
29.09.2021 01:00:00.000 GMT+0100,34408.719,34581.299,34298.299,34478.269,41.068
30.09.2021 01:00:00.000 GMT+0100,34476.499,34681.499,33829.299,33911.229,41.0661
01.10.2021 01:00:00.000 GMT+0100,33906.209,34490.299,33528.499,34344.229,45.0258
02.10.2021 01:00:00.000 GMT+0100,34344.229,34344.229,34344.229,34344.229,0
03.10.2021 01:00:00.000 GMT+0100,34335.799,34425.279,34327.799,34394.789,1.7079
04.10.2021 01:00:00.000 GMT+0100,34395.279,34412.799,33818.279,34010.259,47.7551
05.10.2021 01:00:00.000 GMT+0100,34009.789,34494.799,33814.219,34291.769,41.816
06.10.2021 01:00:00.000 GMT+0100,34293.279,34542.239,33851.249,34492.209,48.2158
07.10.2021 01:00:00.000 GMT+0100,34490.299,34980.209,34470.209,34841.299,33.5634
08.10.2021 01:00:00.000 GMT+0100,34841.269,34869.499,34653.779,34731.769,31.2269
09.10.2021 01:00:00.000 GMT+0100,34731.769,34731.769,34731.769,34731.769,0
10.10.2021 01:00:00.000 GMT+0100,34768.299,34805.799,34519.249,34572.699,1.7445
11.10.2021 01:00:00.000 GMT+0100,34572.719,34954.269,34434.249,34493.699,40.1581
